SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
23,run_results\2020-04-16T23.46.18.985.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.10415840148925781,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.315679601
24,run_results\2020-04-16T23.46.21.177.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.034183502197265625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.177976499
25,run_results\2020-04-16T23.46.24.123.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.7330894470214844,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.9309943
26,run_results\2020-04-16T23.46.26.558.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.127471923828125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.4226878
27,run_results\2020-04-16T23.46.28.418.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.007442474365234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8441401
28,run_results\2020-04-16T23.46.30.374.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.018350601196289062,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9420311
29,run_results\2020-04-16T23.46.32.706.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.13193702697753906,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.31606
30,run_results\2020-04-16T23.46.34.311.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0059108734130859375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.590296299
31,run_results\2020-04-16T23.46.36.202.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.008928298950195312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8767103
32,run_results\2020-04-16T23.46.37.808.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0059413909912109375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.593161199
33,run_results\2020-04-16T23.46.39.847.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.008928298950195312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0227631
34,run_results\2020-04-16T23.46.42.533.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.6993217468261719,UserObjLimit,false,0.09987452191133256,0.023458284031629008,lp,2.6722687
35,run_results\2020-04-16T23.46.44.469.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.008966445922851562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9199041
36,run_results\2020-04-16T23.46.46.628.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.10118484497070312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.147116101
37,run_results\2020-04-16T23.46.48.488.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0109100341796875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8471491
38,run_results\2020-04-16T23.46.50.197.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.00594329833984375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.694464799
39,run_results\2020-04-16T23.46.52.998.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.6969108581542969,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.7879739
40,run_results\2020-04-16T23.46.54.725.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0064907073974609375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.714905401
41,run_results\2020-04-16T23.46.56.433.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0054473876953125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.693933499
42,run_results\2020-04-16T23.46.58.512.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.10961532592773438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0649968
43,run_results\2020-04-16T23.47.00.516.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.042621612548828125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.991089499
44,run_results\2020-04-16T23.47.02.577.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.07737350463867188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0453505
45,run_results\2020-04-16T23.47.04.291.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.026287078857421875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6986532
46,run_results\2020-04-16T23.47.07.317.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.5426692962646484,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.0076642
47,run_results\2020-04-16T23.47.09.026.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.007944107055664062,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6930849
48,run_results\2020-04-16T23.47.11.393.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.09969520568847656,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.351049099
49,run_results\2020-04-16T23.47.13.270.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.027761459350585938,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8636088
50,run_results\2020-04-16T23.47.15.216.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.008928298950195312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.931618399
51,run_results\2020-04-16T23.47.17.286.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.012895584106445312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0521581
52,run_results\2020-04-16T23.47.19.333.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.0863037109375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0304386
53,run_results\2020-04-16T23.47.21.608.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.10710334777832031,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.259967801
54,run_results\2020-04-16T23.47.24.018.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.09128379821777344,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.391987
55,run_results\2020-04-16T23.47.26.036.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.09170150756835938,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.004826699
56,run_results\2020-04-16T23.47.28.261.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.119537353515625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.2113997
57,run_results\2020-04-16T23.47.30.245.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.01438140869140625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9705478
58,run_results\2020-04-16T23.47.31.862.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0049190521240234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6002705
59,run_results\2020-04-16T23.47.34.104.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.13194656372070312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.2293075
60,run_results\2020-04-16T23.47.36.675.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.6725273132324219,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5554947
61,run_results\2020-04-16T23.47.38.182.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0054569244384765625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.4945494
62,run_results\2020-04-16T23.47.41.459.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",1.2379722595214844,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.262089099
63,run_results\2020-04-16T23.47.45.089.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.5762901306152344,UserObjLimit,false,0.09784868661918875,0.0,lp,3.6181737
64,run_results\2020-04-16T23.47.47.487.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.43402099609375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3844756
65,run_results\2020-04-16T23.47.49.694.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.09915924072265625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.193336199
66,run_results\2020-04-16T23.47.51.848.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.2569293975830078,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.135508399
67,run_results\2020-04-16T23.47.58.516.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",3.986358642578125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,6.6543712
68,run_results\2020-04-16T23.48.00.544.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.09275436401367188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0148701
69,run_results\2020-04-16T23.48.02.270.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.0089263916015625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7118795
70,run_results\2020-04-16T23.48.04.371.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.010393142700195312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0871088
71,run_results\2020-04-16T23.48.06.176.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0069427490234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.792887
72,run_results\2020-04-16T23.48.08.126.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.013879776000976562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9363642
73,run_results\2020-04-16T23.48.10.293.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.11759185791015625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.15406
74,run_results\2020-04-16T23.48.13.398.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.1551437377929688,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.091798101
75,run_results\2020-04-16T23.48.15.051.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.005950927734375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.640508799
76,run_results\2020-04-16T23.48.17.085.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.031248092651367188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0197191
77,run_results\2020-04-16T23.48.19.277.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.10015296936035156,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.171700701
78,run_results\2020-04-16T23.48.21.293.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.066986083984375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0019231
79,run_results\2020-04-16T23.48.28.092.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",4.819597244262695,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,6.7854926
80,run_results\2020-04-16T23.48.30.012.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.09771347045898438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9057004
81,run_results\2020-04-16T23.48.32.019.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.2792472839355469,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9946225
82,run_results\2020-04-16T23.48.34.128.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.11308860778808594,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0966546
83,run_results\2020-04-16T23.48.35.919.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.008876800537109375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.775316801
84,run_results\2020-04-16T23.48.37.965.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.08581733703613281,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.032037899
85,run_results\2020-04-16T23.48.41.141.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.5694084167480469,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.160336301
86,run_results\2020-04-16T23.48.43.059.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.008459091186523438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9029549
87,run_results\2020-04-16T23.48.44.887.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.007936477661132812,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.811831799
88,run_results\2020-04-16T23.48.46.894.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.031202316284179688,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.993700801
89,run_results\2020-04-16T23.48.48.990.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.11126708984375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0843802
90,run_results\2020-04-16T23.48.50.673.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.005462646484375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.663651001
91,run_results\2020-04-16T23.48.52.892.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.10564804077148438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.205076
92,run_results\2020-04-16T23.48.54.838.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.009435653686523438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9315919
93,run_results\2020-04-16T23.50.43.154.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",106.06131935119629,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,108.301238601
94,run_results\2020-04-16T23.50.45.143.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.09968185424804688,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9722363
95,run_results\2020-04-16T23.50.46.773.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0073986053466796875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.614593401
96,run_results\2020-04-16T23.50.59.184.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",10.316287994384766,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,12.3940172
97,run_results\2020-04-16T23.51.00.782.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.005443572998046875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.581897099
98,run_results\2020-04-16T23.51.02.794.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.03819847106933594,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9942684
99,run_results\2020-04-16T23.51.04.997.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.09418106079101562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.188324
100,run_results\2020-04-16T23.51.06.933.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0505828857421875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.921611501
101,run_results\2020-04-16T23.55.22.312.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",5.85426139831543,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,18.0900538
102,run_results\2020-04-16T23.55.26.046.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.040134429931640625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.480255499
103,run_results\2020-04-16T23.55.28.444.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.010372161865234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3816096
104,run_results\2020-04-16T23.55.30.605.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.009876251220703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.1452395
105,run_results\2020-04-16T23.55.33.211.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5133457183837891,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5909401
106,run_results\2020-04-16T23.55.35.742.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.17653465270996094,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.516440401
107,run_results\2020-04-16T23.55.38.431.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.14975547790527344,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.674878099
108,run_results\2020-04-16T23.55.40.359.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.06844711303710938,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.913615001
109,run_results\2020-04-16T23.55.42.574.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.08874130249023438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.199213
110,run_results\2020-04-16T23.55.44.619.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.00989532470703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0303614
111,run_results\2020-04-16T23.55.47.669.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.4548015594482422,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.035271801
112,run_results\2020-04-16T23.55.49.675.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.07683944702148438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.990202399
113,run_results\2020-04-16T23.55.51.852.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.11556816101074219,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.162358299
114,run_results\2020-04-16T23.55.54.203.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.08378982543945312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3334065
115,run_results\2020-04-16T23.55.56.154.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.09374427795410156,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9376103
116,run_results\2020-04-16T23.55.58.603.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.23014259338378906,UserObjLimit,false,0.08480390056746855,0.0,lp,2.3150511
117,run_results\2020-04-16T23.56.00.671.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.08179855346679688,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.970490101
118,run_results\2020-04-16T23.56.02.593.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.023822784423828125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9059236
119,run_results\2020-04-16T23.56.06.118.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.367929458618164,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.506546701
120,run_results\2020-04-16T23.56.08.204.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.09626007080078125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0707912
121,run_results\2020-04-16T23.56.10.206.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.033275604248046875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.987423799
122,run_results\2020-04-16T23.56.16.024.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",3.656484603881836,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,5.8039613
123,run_results\2020-04-16T23.56.17.815.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0074405670166015625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.778252901
124,run_results\2020-04-16T23.56.20.254.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.127471923828125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.424321
125,run_results\2020-04-16T23.56.22.296.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.24205970764160156,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.028060901
126,run_results\2020-04-16T23.56.51.599.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",27.3439884185791,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,29.2893319
127,run_results\2020-04-16T23.56.53.625.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.09915733337402344,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.013489701
128,run_results\2020-04-16T23.56.55.725.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.009424209594726562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0845788
129,run_results\2020-04-16T23.56.57.948.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.11854362487792969,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.207627299
130,run_results\2020-04-16T23.57.00.112.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.00942230224609375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.150638199
131,run_results\2020-04-16T23.57.02.041.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.03521919250488281,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9148041
132,run_results\2020-04-16T23.57.04.270.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.103118896484375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.214393
133,run_results\2020-04-16T23.57.06.137.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.008914947509765625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8529755
134,run_results\2020-04-16T23.57.08.032.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.07687950134277344,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8809882
135,run_results\2020-04-16T23.57.10.558.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.13048171997070312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5111979
136,run_results\2020-04-16T23.57.12.255.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.004993438720703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.683088199
137,run_results\2020-04-16T23.57.14.830.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.1284351348876953,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5608377
138,run_results\2020-04-16T23.57.16.548.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0069427490234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7035396
139,run_results\2020-04-16T23.57.18.695.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.033702850341796875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.1319186
140,run_results\2020-04-16T23.57.21.108.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.3918418884277344,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3984848
